id,tempat,sinonim 1,sinonim 2, sinonim 3,sinonim 4,sinonim 5
316,Jalan Bronggalan - Tambaksari,,,,,
317,Jalan Putro Agung - Wetan Tambaksari,,,,,
318,Jalan Putra Agung Kulon - Tambaksari,,,,,
319,Jalan Kedung Sroko - Tambaksari,,,,,
320,Jalan Kenjeran - Tambaksari,,,,,
321,Jalan Simo Gunung - Sawahan,,,,,
322,Jalan Simo Gunung - Sukomanunggal,,,,,
323,Jalan Tanjungsari - Sukomanunggal,,,,,
324,Jalan Sukomanunggal - Sukomanunggal,,,,,
325,Jalan Simo Magersari - Sukomanunggal,,,,,
326,Jalan Simo Jawar - Sukomanunggal,,,,,
327,Jalan Mayjen HR. Mohammad - Sukomanunggal,,,,,
328,Jalan Jojoran - Karang Menjangan,,,,,
329,Waru,,,,,
330,KM,,,,,
331,Tol,,,,,
332,Jalan Dharmahusada,,,,,
333,Juanda,,,,,
